names,scores,logfoldchanges,pvals,pvals_adj
SLC35B2,-2.7517552,-0.80686265,0.0059276811175781935,0.03983285291743461
SMYD2,-2.7675023,-1.1062826,0.005648765211949099,0.03805825436038827
COX11,-2.7678485,-0.7327066,0.005642768534104281,0.03803033330158463
RP11-54O7.17,-2.7681947,-1.2346543,0.005636777599662912,0.03800243262511656
MORN2,-2.7689562,-0.94855744,0.005623617737103732,0.03792616574408755
NUDT9,-2.7776408,-1.3994567,0.005475509101226627,0.03703681263231678
TPCN1,-2.7834768,-0.5935193,0.005377970397081608,0.03643745096152105
NGDN,-2.7836647,-0.8055578,0.00537485556014098,0.03643745096152105
PLOD3,-2.7913175,-0.72002184,0.005249397013836638,0.03562475084200077
ATP5S,-2.7918978,-0.79531854,0.0052399923426585315,0.035572686111916996
ADPRHL2,-2.7925835,-0.8201297,0.005228897357688498,0.03550910812305233
PAICS,-2.7951553,-0.9675963,0.005187479939715084,0.03525116705806387
ZZEF1,-2.804186,-0.54154944,0.005044378712478405,0.0343241798437087
MT1M,-2.8085349,-3.0324075,0.004976747902892842,0.03388645363133903
P2RY11,-2.811865,-1.6309992,0.004925516356693371,0.033571024331526624
PLAT,-2.815927,-2.70846,0.0048636700709411675,0.03320461685611946
C21orf2,-2.81626,-0.5007429,0.0048586311717098065,0.033181250606796615
IGHV3-23,-2.8181064,-1.5183172,0.00483077831366158,0.03301299866882776
TMEM106C,-2.8204772,-1.601837,0.004795229082877629,0.03278097164248912
ABI2,-2.8211827,-0.83662206,0.004784694176756919,0.032719849018868354
NOC2L,-2.8233325,-0.59188706,0.004752726167511959,0.032533749747533515
CCDC91,-2.8288748,-0.5697851,0.004671195372407714,0.03203974934853256
RMDN1,-2.8326073,-0.5361086,0.0046170075327384595,0.03169984870889225
DCPS,-2.8338602,-1.0082873,0.0045989452881596594,0.03161813389840243
HTT,-2.834058,-0.6749703,0.004596099211915954,0.03160915267049334
MUM1,-2.837731,-0.82435477,0.004543545993168485,0.03131065985020337
FKBP11,-2.839996,-0.5736713,0.004511408562214452,0.03111007939996657
TSPAN31,-2.84025,-0.6538828,0.0045078194146762765,0.031095774450231612
WLS,-2.8412886,-0.58606404,0.004493163461149122,0.03101551872694362
MRPL2,-2.8430393,-0.50301015,0.004468555410263108,0.030856028932825883
IFIT3,-2.8461716,-0.984101,0.0044248341957786735,0.030574695794392596
ECHDC2,-2.8463464,-1.3645444,0.0044224064685111425,0.030568209559617927
SLC37A4,-2.8463497,-1.6598824,0.0044223606739418045,0.030568209559617927
FUNDC1,-2.8479455,-0.7904706,0.004400246477633776,0.03044579034019002
ARV1,-2.8614273,-1.1620466,0.0042173809101786934,0.029239653058108207
IGLV3-21,-2.8615263,-1.5681795,0.004216065128113359,0.029239653058108207
MMAB,-2.8625648,-0.6604618,0.0042022718806827486,0.029154592578079133
LIMA1,-2.8695152,-0.8349246,0.0041110152815702575,0.0285407618246046
IMMP1L,-2.874118,-1.2084438,0.004051575363176842,0.028166200687659123
ASF1A,-2.8749225,-0.84964556,0.004041266605912438,0.028104052219775216
GDF15,-2.8793044,-1.7262996,0.003985534539281295,0.027744672281080265
RPF2,-2.8840358,-0.51261204,0.00392614165412379,0.02737763655485981
TSPAN33,-2.8852162,-0.54235375,0.003911450306845415,0.027293733293415882
RMDN3,-2.8864229,-0.75073826,0.003896482294928848,0.02719853282305145
ENTPD3-AS1,-2.8889585,-0.8388663,0.003865202477277187,0.02698936791021203
CLIP2,-2.8892913,-1.2266672,0.003861111196751668,0.02696997337805886
EXOSC5,-2.8959615,-0.7938413,0.00377998828582703,0.026430306375934298
APPL2,-2.8976793,-0.9394202,0.0037593483963723404,0.026312875291213015
MRPL46,-2.899374,-1.2002547,0.003739086246675481,0.026197850361092474
AC016747.3,-2.9013457,-0.986391,0.003715637732237375,0.02605134119026676
SMURF2,-2.9025095,-0.57889223,0.003701858875400154,0.0259636012480662
PLBD2,-2.9029908,-0.9703134,0.003696173563640357,0.025932586154467835
FHIT,-2.9032414,-1.0349237,0.0036932172289704038,0.02592070307471228
KIAA1430,-2.90642,-0.7676794,0.0036559045791410235,0.025702762022323997
FECH,-2.906687,-1.0082483,0.0036527850521423746,0.02568962806969195
IDNK,-2.9098523,-1.5286585,0.003615996782019589,0.025457063764773715
C7orf55,-2.9131591,-0.5454612,0.003577920937344302,0.02524961805525651
CBX1,-2.9147716,-0.50635374,0.0035594901061750095,0.02514548258419366
FBXO25,-2.916064,-0.66175485,0.0035447777060576067,0.02505016920057026
GGH,-2.9180357,-1.3707185,0.0035224403423671303,0.024900887668200696
PDK3,-2.9242737,-0.72754663,0.0034526086397783603,0.02448933488487591
