names,scores,logfoldchanges,pvals,pvals_adj
TMEM186,-0.9281597,-0.916381,0.35332472644977553,1.0
BRD7,-0.9283971,0.3674315,0.3532016169224995,1.0
CDK2,-0.9285158,-1.024254,0.3531400723324426,1.0
RFC3,-0.92858833,-1.0366067,0.35310246508856147,1.0
TMEM254,-0.92905325,-0.19131577,0.3528614969856527,1.0
RP11-138A9.1,-0.9292478,0.36718217,0.3527606972404109,1.0
MON1A,-0.92940605,-1.2067343,0.3526787041089309,1.0
TRABD2A,-0.9295643,-1.2092713,0.3525967230368957,1.0
B3GAT2,-0.92971593,-0.1321125,0.35251816915931844,1.0
GLT8D1,-0.9298511,0.06419161,0.35244816308218896,1.0
ZNF200,-0.93039185,-0.34168413,0.3521682267669133,1.0
RP11-446N19.1,-0.93045783,-1.5764997,0.3521340978238472,1.0
SURF2,-0.9307776,0.17784809,0.3519686021559755,1.0
TMEM136,-0.93079084,-1.6744938,0.3519617786498417,1.0
CDC6,-0.93201405,-2.7583609,0.3513292626495368,1.0
AC016683.6,-0.9328779,-0.5069776,0.35088301437651626,1.0
STIM1,-0.93308234,-0.14315946,0.3507774662362537,1.0
ADCK5,-0.93313175,-0.34634897,0.35075193342014344,1.0
HEMK1,-0.9332604,-0.4359447,0.35068555361274745,1.0
PPWD1,-0.933811,-0.52120703,0.3504014019569013,1.0
DAGLB,-0.93397254,0.10467258,0.350318055833612,1.0
MEPCE,-0.9342528,0.19426692,0.3501735056516644,1.0
KIAA0368,-0.9345199,-0.051608156,0.3500357930443947,1.0
RP2,-0.9348298,0.30527255,0.34987602149563424,1.0
METTL3,-0.9350144,-0.5803597,0.3497808604453315,1.0
PCTP,-0.9364421,-0.12019466,0.34904561620745733,1.0
MED16,-0.9366861,-0.04706049,0.3489200607358527,1.0
PAXIP1-AS1,-0.9368608,-0.64321214,0.34883015350427793,1.0
ALKBH4,-0.93694985,-0.58796257,0.3487843573657452,1.0
WAPAL,-0.93763566,0.3647837,0.3484316855429246,1.0
CCDC82,-0.93768513,-0.011053307,0.3484062612425538,1.0
ACAD8,-0.93798846,-0.27179217,0.3482503513256764,1.0
SCAF11,-0.93808734,0.38301933,0.3481995207250672,1.0
CHST11,-0.93854564,0.25163817,0.3479640671606501,1.0
FAM114A1,-0.9387138,-0.77187186,0.34787770311412247,1.0
LOH12CR1,-0.93881273,-0.30030957,0.34782690710135367,1.0
RP3-399L15.3,-0.9397524,-0.94748634,0.34734458023727455,1.0
CCNB1IP1,-0.93982494,-0.031075398,0.34730736568793463,1.0
ZNF184,-0.9398447,-0.9762834,0.34729721670567415,1.0
FASTKD1,-0.94000626,-0.2974078,0.3472143404135548,1.0
CFL2,-0.9401909,-0.9696254,0.3471196400615645,1.0
TVP23A,-0.94075805,-0.97588205,0.34682887747674473,1.0
HAUS2,-0.94121635,0.07773636,0.3465940140420535,1.0
CMIP,-0.9417867,0.4166163,0.3463018434803886,1.0
CGGBP1,-0.942522,0.2536241,0.3459254620509231,1.0
HOXB7,-0.94266045,-1.7013557,0.34585460324661144,1.0
TRPV4,-0.94268686,-1.7799386,0.3458411073801644,1.0
DIS3L,-0.9431418,-0.40003267,0.34560835650623056,1.0
ZNF131,-0.9431913,0.18116212,0.34558306351515167,1.0
C6orf47,-0.9432012,0.06476386,0.3455780050585142,1.0
OTUD6B,-0.9432078,-0.29551473,0.3455746327803074,1.0
MOAP1,-0.94336605,-0.12000982,0.3454937043957753,1.0
EXOSC10,-0.94366276,-0.4189632,0.3453419962386802,1.0
CCDC6,-0.94425297,0.13676262,0.34504039182252577,1.0
TMEM64,-0.9447442,-0.38645178,0.3447894637816372,1.0
C18orf25,-0.94503766,-0.5145645,0.3446396361344537,1.0
E4F1,-0.9458092,-0.49582195,0.344245905472754,1.0
CBX7,-0.9461126,-0.58395123,0.3440911840394556,1.0
REPS2,-0.9463928,-0.44938812,0.34394827434757547,1.0
MEF2D,-0.94669944,0.11239919,0.34379195774927507,1.0
ILF3-AS1,-0.94705224,0.23536097,0.34361216574949915,1.0
CLIP1,-0.94731927,0.3881028,0.3434761014678054,1.0
DDX23,-0.94785345,-0.03604156,0.34320407616417214,1.0
PIGN,-0.9479886,-0.64471966,0.3431352520865354,1.0
C3orf38,-0.94808096,-0.08195594,0.3430882553454965,1.0
TFAM,-0.94841725,0.12937419,0.34291708771642804,1.0
ZUFSP,-0.9488063,-0.6171195,0.342719138365558,1.0
LLGL2,-0.94897777,-0.64502925,0.3426319296394398,1.0
DOPEY2,-0.9490272,-0.24633473,0.34260677591275057,1.0
